t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM,frontCm,rightCm,wallState
13010,371,0,0,0,0,M,x,0,0,45.2,48.7,N
14010,372,0,0,0,0,M,x,0,0,45.2,49.8,N
15010,371,0,0,0,0,M,x,0,0,45.5,50.3,N
16010,372,0,0,0,0,M,x,0,0,45.6,49.5,N
17010,370,0,0,0,0,M,x,0,0,45.6,58.1,N
18010,363,20,4,20,4,W,u,221,119,42.2,28.6,N
19010,315,81,48,61,44,W,u,180,-180,12.0,37.6,L
20010,359,109,110,28,62,W,u,101,239,28.8,8.5,N
21010,376,129,194,20,84,W,u,105,235,22.1,9.1,N
