t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
4860,534,0,0,0,0,M,x,0,0
4880,535,0,0,0,0,M,x,0,0
4900,534,0,0,0,0,M,x,0,0
4920,534,0,0,0,0,M,x,0,0
4940,535,0,0,0,0,M,x,0,0
4960,535,0,0,0,0,M,x,0,0
4980,535,0,0,0,0,M,x,0,0
5000,535,0,0,0,0,M,x,0,0
5020,535,0,0,0,0,M,x,0,0
5040,536,0,0,0,0,M,x,0,0
5060,535,0,0,0,0,M,x,0,0
5080,535,0,0,0,0,M,x,0,0
5100,535,0,0,0,0,M,x,0,0
5120,535,0,0,0,0,M,x,0,0
5140,536,0,0,0,0,M,x,0,0
5160,535,0,0,0,0,M,x,0,0
5180,535,0,0,0,0,M,x,0,0
5200,535,0,0,0,0,M,x,0,0
5220,535,0,0,0,0,M,x,0,0
5240,536,0,0,0,0,M,x,0,0
5260,535,0,0,0,0,M,x,0,0
5280,535,0,0,0,0,M,x,0,0
5300,535,0,0,0,0,M,x,0,0
5320,535,0,0,0,0,M,x,0,0
5340,535,0,0,0,0,M,x,0,0
5360,534,0,0,0,0,M,x,0,0
5380,535,0,0,0,0,M,x,0,0
5400,534,0,0,0,0,M,x,0,0
5420,534,0,0,0,0,M,x,0,0
5440,535,0,0,0,0,M,x,0,0
5460,534,0,0,0,0,M,x,0,0
5480,535,0,0,0,0,M,x,0,0
5500,534,0,0,0,0,M,x,0,0
5520,534,0,0,0,0,M,x,0,0
5540,534,0,0,0,0,M,x,0,0
5560,534,0,0,0,0,M,x,0,0
5580,535,0,0,0,0,M,x,0,0
5600,535,0,0,0,0,M,x,0,0
5620,534,0,0,0,0,M,x,0,0
5640,535,0,0,0,0,M,x,0,0
5660,535,0,0,0,0,M,x,0,0
5680,535,0,0,0,0,M,x,0,0
5700,535,0,0,0,0,M,x,0,0
5720,535,0,0,0,0,M,x,0,0
5740,535,0,0,0,0,M,x,0,0
5760,534,0,0,0,0,M,x,0,0
5780,535,0,0,0,0,M,x,0,0
5800,534,0,0,0,0,M,x,0,0
5820,534,0,0,0,0,M,x,0,0
5840,535,0,0,0,0,M,x,0,0
5860,534,0,0,0,0,M,x,0,0
5880,535,0,0,0,0,M,x,0,0
5900,535,0,0,0,0,M,x,0,0
