t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
409000,251,473,411,0,0,M,x,0,0
410000,253,473,411,0,0,M,m,0,0
411000,250,473,411,0,0,M,m,0,0
412000,249,473,411,0,0,M,m,0,0
413000,230,492,412,19,1,M,x,0,0
414000,228,492,412,0,0,M,x,0,0
415000,229,492,412,0,0,M,x,0,0
416000,230,492,412,0,0,M,x,0,0
417000,227,492,412,0,0,M,x,0,0
418000,228,492,412,0,0,M,x,0,0
419000,231,496,412,4,0,M,a,-100,100
420000,210,558,423,62,11,M,a,-100,100
421000,222,616,429,58,6,M,x,0,0
422000,214,616,429,0,0,M,x,0,0
423000,209,616,430,0,1,M,x,0,0
424000,214,616,430,0,0,M,x,0,0
425000,214,616,430,0,0,M,x,0,0
426000,225,616,431,0,1,M,x,0,0
427000,299,616,431,0,0,M,x,0,0
428000,301,616,431,0,0,M,x,0,0
429000,299,618,431,2,0,M,w,100,70
430000,302,744,431,126,0,M,w,100,70
431000,303,906,431,162,0,M,w,100,70
432000,305,1070,431,164,0,M,w,100,70
433000,303,1236,431,166,0,M,w,100,70
434000,307,1404,431,168,0,M,w,100,70
435000,297,1572,431,168,0,M,x,0,0
436000,295,1650,431,78,0,M,x,0,0
437000,297,1698,431,48,0,M,s,-100,-70
438000,302,1718,431,20,0,M,x,0,0
439000,294,1718,431,0,0,M,x,0,0
