t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
7000,245,0,0,0,0,M,x,0,0
8000,244,0,0,0,0,M,x,0,0
9000,245,0,0,0,0,M,x,0,0
10000,245,0,0,0,0,M,x,0,0
11000,245,0,0,0,0,M,x,0,0
12000,245,0,0,0,0,M,m,0,0
13000,242,5,4,5,4,M,x,0,0
14000,242,5,4,0,0,M,x,0,0
15000,241,5,4,0,0,M,x,0,0
16000,241,5,4,0,0,M,x,0,0
17000,238,26,20,21,16,M,x,0,0
18000,222,54,46,28,26,M,x,0,0
19000,221,76,63,22,17,M,x,0,0
20000,216,94,77,18,14,M,x,0,0
21000,228,113,95,19,18,M,x,0,0
22000,241,138,125,25,30,M,x,0,0
23000,236,190,170,52,45,M,x,0,0
24000,225,216,196,26,26,M,x,0,0
25000,216,234,210,18,14,M,x,0,0
26000,216,234,210,0,0,M,x,0,0
27000,216,234,210,0,0,M,x,0,0
28000,216,234,210,0,0,M,x,0,0
