t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
4000,220,0,0,0,0,M,x,0,0
5000,220,0,0,0,0,M,x,0,0
6000,216,0,0,0,0,M,x,0,0
7000,215,0,0,0,0,M,x,0,0
8000,213,0,0,0,0,M,x,0,0
9000,219,0,0,0,0,M,x,0,0
10000,220,0,0,0,0,M,x,0,0
11000,220,0,0,0,0,M,m,0,0
12000,220,0,0,0,0,M,x,0,0
13000,220,0,0,0,0,M,x,0,0
14000,220,0,0,0,0,M,x,0,0
15000,220,0,0,0,0,M,s,-50,-20
16000,219,0,0,0,0,M,x,0,0
17000,220,0,0,0,0,M,x,0,0
18000,219,0,0,0,0,M,x,0,0
19000,219,0,0,0,0,M,x,0,0
20000,219,0,0,0,0,M,x,0,0
21000,219,0,0,0,0,M,x,0,0
22000,220,0,0,0,0,M,x,0,0
