t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
4000,218,0,0,0,0,M,x,0,0
5000,218,0,0,0,0,M,x,0,0
6000,218,0,0,0,0,M,m,0,0
7000,217,4,2,4,2,M,w,100,70
8000,214,6,7,2,5,M,x,0,0
9000,223,22,16,16,9,M,x,0,0
10000,237,38,30,16,14,M,w,100,70
11000,215,70,47,32,17,M,x,0,0
12000,233,102,80,32,33,M,x,0,0
13000,233,102,80,0,0,M,s,-100,-70
14000,228,148,116,46,36,M,a,-100,100
15000,242,178,136,30,20,M,w,100,70
16000,239,240,181,62,45,M,a,-100,100
17000,260,284,221,44,40,M,x,0,0
18000,279,331,259,47,38,M,x,0,0
19000,280,332,260,1,1,M,x,0,0
