t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
128920,197,1280,0,0,0,M,x,0,0
128940,198,1280,0,0,0,M,x,0,0
128960,198,1280,0,0,0,M,x,0,0
128980,198,1280,0,0,0,M,x,0,0
129000,198,1280,0,0,0,M,x,0,0
129020,197,1280,0,0,0,M,x,0,0
129040,198,1280,0,0,0,M,x,0,0
129060,198,1280,0,0,0,M,x,0,0
129080,198,1280,0,0,0,M,x,0,0
129100,198,1280,0,0,0,M,x,0,0
129120,198,1280,0,0,0,M,x,0,0
129140,198,1280,0,0,0,M,x,0,0
129160,198,1280,0,0,0,M,x,0,0
129180,197,1280,0,0,0,M,x,0,0
129200,197,1280,0,0,0,M,x,0,0
129220,197,1280,0,0,0,M,x,0,0
129240,197,1280,0,0,0,M,x,0,0
129260,197,1280,0,0,0,M,x,0,0
129280,197,1280,0,0,0,M,x,0,0
129300,198,1280,0,0,0,M,x,0,0
129320,197,1280,0,0,0,M,x,0,0
129340,198,1280,0,0,0,M,x,0,0
129360,198,1280,0,0,0,M,x,0,0
129380,197,1280,0,0,0,M,x,0,0
129400,198,1280,0,0,0,M,x,0,0
129420,197,1280,0,0,0,M,x,0,0
129440,198,1280,0,0,0,M,x,0,0
129460,198,1280,0,0,0,M,x,0,0
129480,197,1280,0,0,0,M,x,0,0
129500,198,1280,0,0,0,M,x,0,0
129520,198,1280,0,0,0,M,x,0,0
129540,198,1280,0,0,0,M,x,0,0
129560,198,1280,0,0,0,M,x,0,0
129580,197,1280,0,0,0,M,x,0,0
129600,198,1280,0,0,0,M,x,0,0
129620,198,1280,0,0,0,M,x,0,0
129640,198,1280,0,0,0,M,x,0,0
129660,198,1280,0,0,0,M,x,0,0
129680,198,1280,0,0,0,M,x,0,0
129700,198,1280,0,0,0,M,x,0,0
129720,197,1280,0,0,0,M,x,0,0
129740,198,1280,0,0,0,M,x,0,0
129760,197,1280,0,0,0,M,x,0,0
129780,197,1280,0,0,0,M,x,0,0
129800,198,1280,0,0,0,M,x,0,0
129820,197,1280,0,0,0,M,x,0,0
129840,197,1280,0,0,0,M,x,0,0
129860,197,1280,0,0,0,M,x,0,0
129880,197,1280,0,0,0,M,x,0,0
129900,197,1280,0,0,0,M,x,0,0
129920,197,1280,0,0,0,M,x,0,0
129940,197,1280,0,0,0,M,x,0,0
129960,197,1280,0,0,0,M,x,0,0
129980,197,1280,0,0,0,M,x,0,0
130000,197,1280,0,0,0,M,x,0,0
130020,197,1280,0,0,0,M,x,0,0
130040,197,1280,0,0,0,M,x,0,0
