t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
9000,347,0,0,0,0,M,x,0,0
10000,347,0,0,0,0,M,m,0,0
11000,273,23,21,23,21,M,x,0,0
12000,246,37,40,14,19,M,x,0,0
13000,237,59,62,22,22,M,w,200,175
14000,231,88,90,29,28,M,x,0,0
15000,241,101,103,13,13,M,x,0,0
16000,246,104,105,3,2,M,x,0,0
17000,242,121,126,17,21,M,x,0,0
18000,301,140,144,19,18,M,x,0,0
19000,205,169,174,29,30,M,x,0,0
20000,233,204,209,35,35,M,w,200,175
21000,163,229,238,25,29,M,w,200,175
22000,165,246,255,17,17,M,x,0,0
23000,211,255,265,9,10,M,w,200,175
24000,270,274,283,19,18,M,x,0,0
25000,212,286,293,12,10,M,x,0,0
26000,191,291,298,5,5,M,x,0,0
27000,253,306,321,15,23,M,x,0,0
28000,286,308,322,2,1,M,x,0,0
29000,324,344,357,36,35,M,x,0,0
30000,284,350,362,6,5,M,w,200,175
31000,241,371,386,21,24,M,x,0,0
32000,210,383,399,12,13,M,a,180,-180
33000,265,402,418,19,19,M,x,0,0
34000,279,418,436,16,18,M,x,0,0
35000,293,440,456,22,20,M,x,0,0
36000,264,470,483,30,27,M,x,0,0
37000,289,494,504,24,21,M,x,0,0
38000,271,509,519,15,15,M,x,0,0
39000,268,509,520,0,1,M,x,0,0
40000,325,516,527,7,7,M,x,0,0
41000,320,526,537,10,10,M,d,-180,180
42000,193,547,556,21,19,M,w,200,175
43000,181,572,585,25,29,M,x,0,0
44000,189,586,597,14,12,M,w,200,175
45000,202,620,628,34,31,M,x,0,0
46000,253,630,640,10,12,M,x,0,0
47000,295,656,670,26,30,M,x,0,0
48000,267,684,699,28,29,M,x,0,0
49000,299,743,713,59,14,M,a,180,-180
50000,322,765,734,22,21,M,w,200,175
51000,318,793,761,28,27,M,x,0,0
52000,318,806,774,13,13,M,w,200,175
53000,223,826,802,20,28,M,x,0,0
54000,222,826,802,0,0,M,x,0,0
55000,221,826,802,0,0,M,x,0,0
56000,220,826,802,0,0,M,x,0,0
57000,219,826,802,0,0,M,x,0,0
58000,220,826,802,0,0,M,x,0,0
59000,219,826,802,0,0,M,x,0,0
60000,217,826,802,0,0,M,x,0,0
61000,217,826,802,0,0,M,x,0,0
62000,217,826,802,0,0,M,x,0,0
63000,215,826,802,0,0,M,x,0,0
64000,188,826,802,0,0,M,x,0,0
65000,171,826,802,0,0,M,x,0,0
66000,147,826,802,0,0,M,x,0,0
67000,154,826,802,0,0,M,x,0,0
68000,154,826,802,0,0,M,x,0,0
69000,158,826,802,0,0,M,x,0,0
70000,158,826,802,0,0,M,x,0,0
71000,160,826,802,0,0,M,x,0,0
72000,158,826,802,0,0,M,x,0,0
73000,158,826,802,0,0,M,x,0,0
74000,149,826,802,0,0,M,x,0,0
75000,145,826,802,0,0,M,x,0,0
76000,145,826,802,0,0,M,x,0,0
77000,146,826,802,0,0,M,x,0,0
78000,149,826,802,0,0,M,x,0,0
79000,146,826,802,0,0,M,x,0,0
80000,146,826,802,0,0,M,x,0,0
81000,144,826,802,0,0,M,x,0,0
82000,143,826,802,0,0,M,x,0,0
83000,141,826,802,0,0,M,x,0,0
84000,136,826,802,0,0,M,x,0,0
85000,150,826,802,0,0,M,x,0,0
86000,153,826,802,0,0,M,x,0,0
87000,149,826,802,0,0,M,x,0,0
