t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
622740,223,635,679,0,0,M,x,0,0
622760,223,635,679,0,0,M,x,0,0
622780,223,635,679,0,0,M,x,0,0
622800,223,635,679,0,0,M,x,0,0
622820,223,635,679,0,0,M,x,0,0
622840,223,635,679,0,0,M,x,0,0
622860,223,635,679,0,0,M,x,0,0
622880,223,635,679,0,0,M,x,0,0
622900,222,635,679,0,0,M,x,0,0
622920,222,635,679,0,0,M,x,0,0
622940,222,635,679,0,0,M,x,0,0
622960,222,635,679,0,0,M,x,0,0
622980,222,635,679,0,0,M,x,0,0
623000,222,635,679,0,0,M,x,0,0
623020,222,635,679,0,0,M,x,0,0
623040,221,635,679,0,0,M,x,0,0
623060,221,635,679,0,0,M,x,0,0
623080,221,635,679,0,0,M,x,0,0
623100,221,635,679,0,0,M,x,0,0
623120,221,635,679,0,0,M,x,0,0
623140,221,635,679,0,0,M,x,0,0
623160,221,635,679,0,0,M,x,0,0
623180,221,635,679,0,0,M,x,0,0
623200,220,635,679,0,0,M,x,0,0
623220,220,635,679,0,0,M,x,0,0
623240,220,635,679,0,0,M,x,0,0
623260,220,635,679,0,0,M,x,0,0
623280,220,635,679,0,0,M,x,0,0
623300,220,635,679,0,0,M,x,0,0
623320,220,635,679,0,0,M,x,0,0
623340,220,635,679,0,0,M,x,0,0
623360,220,635,679,0,0,M,x,0,0
623380,219,635,679,0,0,M,x,0,0
623400,219,635,679,0,0,M,x,0,0
623420,219,635,679,0,0,M,x,0,0
623440,219,635,679,0,0,M,x,0,0
623460,219,635,679,0,0,M,x,0,0
623480,220,635,679,0,0,M,x,0,0
623500,219,635,679,0,0,M,x,0,0
623520,220,635,679,0,0,M,x,0,0
623540,219,635,679,0,0,M,x,0,0
623560,219,635,679,0,0,M,x,0,0
623580,219,635,679,0,0,M,x,0,0
623600,219,635,679,0,0,M,x,0,0
623620,219,635,679,0,0,M,x,0,0
623640,219,635,679,0,0,M,x,0,0
623660,219,635,679,0,0,M,x,0,0
623680,219,635,679,0,0,M,x,0,0
623700,219,635,679,0,0,M,x,0,0
623720,219,635,679,0,0,M,x,0,0
623740,218,635,679,0,0,M,x,0,0
623760,218,635,679,0,0,M,x,0,0
623780,218,635,679,0,0,M,x,0,0
623800,218,635,679,0,0,M,x,0,0
623820,218,635,679,0,0,M,x,0,0
623840,217,635,679,0,0,M,x,0,0
