t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
59600,267,0,0,0,0,M,x,0,0
59620,267,0,0,0,0,M,x,0,0
59640,266,0,0,0,0,M,x,0,0
59660,267,0,0,0,0,M,x,0,0
59680,267,0,0,0,0,M,x,0,0
59700,267,0,0,0,0,M,x,0,0
59720,267,0,0,0,0,M,x,0,0
59740,266,0,0,0,0,M,x,0,0
59760,267,0,0,0,0,M,x,0,0
59780,267,0,0,0,0,M,x,0,0
59800,267,0,0,0,0,M,x,0,0
59820,267,0,0,0,0,M,x,0,0
59840,267,0,0,0,0,M,x,0,0
59860,267,0,0,0,0,M,x,0,0
59880,267,0,0,0,0,M,x,0,0
59900,267,0,0,0,0,M,x,0,0
59920,267,0,0,0,0,M,x,0,0
59940,267,0,0,0,0,M,x,0,0
59960,267,0,0,0,0,M,x,0,0
59980,267,0,0,0,0,M,x,0,0
60000,267,0,0,0,0,M,x,0,0
60020,267,0,0,0,0,M,x,0,0
60040,267,0,0,0,0,M,x,0,0
60060,267,0,0,0,0,M,x,0,0
60080,267,0,0,0,0,M,x,0,0
60100,267,0,0,0,0,M,x,0,0
60120,267,0,0,0,0,M,x,0,0
60140,267,0,0,0,0,M,x,0,0
60160,268,0,0,0,0,M,x,0,0
60180,267,0,0,0,0,M,x,0,0
60200,268,0,0,0,0,M,x,0,0
60220,268,0,0,0,0,M,x,0,0
60240,267,0,0,0,0,M,x,0,0
60260,268,0,0,0,0,M,x,0,0
60280,268,0,0,0,0,M,x,0,0
60300,268,0,0,0,0,M,x,0,0
60320,268,0,0,0,0,M,x,0,0
60340,267,0,0,0,0,M,x,0,0
60360,268,0,0,0,0,M,x,0,0
60380,268,0,0,0,0,M,x,0,0
60400,268,0,0,0,0,M,x,0,0
60420,268,0,0,0,0,M,x,0,0
60440,268,0,0,0,0,M,x,0,0
60460,268,0,0,0,0,M,x,0,0
60480,268,0,0,0,0,M,x,0,0
60500,268,0,0,0,0,M,x,0,0
60520,268,0,0,0,0,M,x,0,0
60540,268,0,0,0,0,M,x,0,0
60560,268,0,0,0,0,M,x,0,0
60580,268,0,0,0,0,M,x,0,0
60600,268,0,0,0,0,M,x,0,0
60620,268,0,0,0,0,M,x,0,0
60640,268,0,0,0,0,M,x,0,0
60660,268,0,0,0,0,M,x,0,0
60680,268,0,0,0,0,M,x,0,0
60700,269,0,0,0,0,M,x,0,0
60720,268,0,0,0,0,M,x,0,0
60740,268,0,0,0,0,M,x,0,0
60760,269,0,0,0,0,M,x,0,0
60780,269,0,0,0,0,M,x,0,0
60800,269,0,0,0,0,M,x,0,0
60820,269,0,0,0,0,M,x,0,0
60840,269,0,0,0,0,M,x,0,0
60860,269,0,0,0,0,M,x,0,0
60880,269,0,0,0,0,M,x,0,0
60900,269,0,0,0,0,M,x,0,0
60920,269,0,0,0,0,M,x,0,0
60940,269,0,0,0,0,M,x,0,0
60960,269,0,0,0,0,M,x,0,0
60980,269,0,0,0,0,M,x,0,0
61000,269,0,0,0,0,M,x,0,0
61020,269,0,0,0,0,M,x,0,0
61040,269,0,0,0,0,M,x,0,0
61060,270,0,0,0,0,M,x,0,0
61080,269,0,0,0,0,M,x,0,0
61100,269,0,0,0,0,M,x,0,0
61120,269,0,0,0,0,M,x,0,0
61140,269,0,0,0,0,M,x,0,0
61160,269,0,0,0,0,M,x,0,0
61180,269,0,0,0,0,M,x,0,0
61200,270,0,0,0,0,M,x,0,0
61220,269,0,0,0,0,M,x,0,0
61240,269,0,0,0,0,M,x,0,0
61260,269,0,0,0,0,M,x,0,0
61280,269,0,0,0,0,M,x,0,0
61300,269,0,0,0,0,M,x,0,0
61320,269,0,0,0,0,M,x,0,0
61340,269,0,0,0,0,M,x,0,0
61360,269,0,0,0,0,M,x,0,0
61380,269,0,0,0,0,M,x,0,0
61400,269,0,0,0,0,M,x,0,0
61420,269,0,0,0,0,M,x,0,0
61440,269,0,0,0,0,M,x,0,0
61460,269,0,0,0,0,M,x,0,0
61480,269,0,0,0,0,M,x,0,0
61500,269,0,0,0,0,M,x,0,0
61520,269,0,0,0,0,M,x,0,0
61540,269,0,0,0,0,M,x,0,0
61560,269,0,0,0,0,M,x,0,0
61580,269,0,0,0,0,M,x,0,0
61600,269,0,0,0,0,M,x,0,0
61620,269,0,0,0,0,M,x,0,0
61640,269,0,0,0,0,M,x,0,0
61660,269,0,0,0,0,M,x,0,0
61680,269,0,0,0,0,M,x,0,0
61700,269,0,0,0,0,M,x,0,0
61720,269,0,0,0,0,M,x,0,0
61740,269,0,0,0,0,M,x,0,0
61760,269,0,0,0,0,M,x,0,0
61780,269,0,0,0,0,M,x,0,0
61800,269,0,0,0,0,M,x,0,0
61820,269,0,0,0,0,M,x,0,0
61840,269,0,0,0,0,M,x,0,0
61860,269,0,0,0,0,M,x,0,0
61880,269,0,0,0,0,M,x,0,0
61900,269,0,0,0,0,M,x,0,0
61920,269,0,0,0,0,M,x,0,0
61940,269,0,0,0,0,M,x,0,0
61960,269,0,0,0,0,M,x,0,0
61980,269,0,0,0,0,M,x,0,0
62000,269,0,0,0,0,M,x,0,0
62020,269,0,0,0,0,M,x,0,0
62040,269,0,0,0,0,M,x,0,0
62060,269,0,0,0,0,M,x,0,0
62080,269,0,0,0,0,M,x,0,0
62100,269,0,0,0,0,M,x,0,0
62120,269,0,0,0,0,M,x,0,0
62140,269,0,0,0,0,M,x,0,0
62160,269,0,0,0,0,M,x,0,0
62180,269,0,0,0,0,M,x,0,0
62200,269,0,0,0,0,M,x,0,0
62220,269,0,0,0,0,M,x,0,0
62240,269,0,0,0,0,M,x,0,0
62260,269,0,0,0,0,M,x,0,0
62280,269,0,0,0,0,M,x,0,0
62300,269,0,0,0,0,M,x,0,0
62320,269,0,0,0,0,M,x,0,0
62340,269,0,0,0,0,M,x,0,0
62360,269,0,0,0,0,M,x,0,0
62380,269,0,0,0,0,M,x,0,0
62400,269,0,0,0,0,M,x,0,0
62420,269,0,0,0,0,M,x,0,0
62440,269,0,0,0,0,M,x,0,0
62460,269,0,0,0,0,M,x,0,0
62480,268,0,0,0,0,M,x,0,0
62500,269,0,0,0,0,M,x,0,0
62520,268,0,0,0,0,M,x,0,0
62540,269,0,0,0,0,M,x,0,0
62560,268,0,0,0,0,M,x,0,0
62580,268,0,0,0,0,M,x,0,0
62600,269,0,0,0,0,M,x,0,0
62620,268,0,0,0,0,M,x,0,0
62640,268,0,0,0,0,M,x,0,0
62660,268,0,0,0,0,M,x,0,0
62680,268,0,0,0,0,M,x,0,0
62700,268,0,0,0,0,M,x,0,0
62720,268,0,0,0,0,M,x,0,0
62740,268,0,0,0,0,M,x,0,0
62760,268,0,0,0,0,M,x,0,0
62780,268,0,0,0,0,M,x,0,0
62800,268,0,0,0,0,M,x,0,0
62820,268,0,0,0,0,M,x,0,0
62840,268,0,0,0,0,M,x,0,0
62860,268,0,0,0,0,M,x,0,0
62880,268,0,0,0,0,M,x,0,0
62900,268,0,0,0,0,M,x,0,0
62920,268,0,0,0,0,M,x,0,0
62940,268,0,0,0,0,M,x,0,0
62960,268,0,0,0,0,M,x,0,0
62980,268,0,0,0,0,M,x,0,0
63000,268,0,0,0,0,M,x,0,0
63020,268,0,0,0,0,M,x,0,0
63040,268,0,0,0,0,M,x,0,0
63060,268,0,0,0,0,M,x,0,0
63080,268,0,0,0,0,M,x,0,0
63100,268,0,0,0,0,M,x,0,0
63120,268,0,0,0,0,M,x,0,0
63140,268,0,0,0,0,M,x,0,0
63160,268,0,0,0,0,M,x,0,0
63180,268,0,0,0,0,M,x,0,0
63200,269,0,0,0,0,M,x,0,0
63220,268,0,0,0,0,M,x,0,0
63240,269,0,0,0,0,M,x,0,0
63260,268,0,0,0,0,M,x,0,0
63280,268,0,0,0,0,M,x,0,0
63300,269,0,0,0,0,M,x,0,0
63320,268,0,0,0,0,M,x,0,0
63340,269,0,0,0,0,M,x,0,0
63360,268,0,0,0,0,M,x,0,0
63380,268,0,0,0,0,M,x,0,0
63400,269,0,0,0,0,M,x,0,0
63420,268,0,0,0,0,M,x,0,0
63440,269,0,0,0,0,M,x,0,0
63460,268,0,0,0,0,M,x,0,0
63480,268,0,0,0,0,M,m,0,0
63500,269,0,0,0,0,M,m,0,0
63520,268,0,0,0,0,M,m,0,0
63540,269,0,0,0,0,M,m,0,0
63560,268,0,0,0,0,M,m,0,0
63580,269,0,0,0,0,M,m,0,0
63600,269,0,0,0,0,M,m,0,0
63620,268,0,0,0,0,M,m,0,0
63640,269,0,0,0,0,M,m,0,0
63660,269,0,0,0,0,M,m,0,0
63680,269,0,0,0,0,M,m,0,0
63700,269,0,0,0,0,M,m,0,0
63720,269,0,0,0,0,M,m,0,0
63740,269,0,0,0,0,M,m,0,0
63760,269,0,0,0,0,M,m,0,0
63780,269,0,0,0,0,M,m,0,0
63800,269,0,0,0,0,M,m,0,0
63820,269,0,0,0,0,M,m,0,0
63840,270,0,0,0,0,M,m,0,0
63860,269,0,0,0,0,M,m,0,0
63880,269,0,0,0,0,M,m,0,0
63900,270,0,0,0,0,M,m,0,0
63920,269,0,0,0,0,M,m,0,0
63940,270,0,0,0,0,M,m,0,0
63960,269,0,0,0,0,M,m,0,0
63980,270,0,0,0,0,M,m,0,0
64000,270,0,0,0,0,M,m,0,0
64020,269,0,0,0,0,M,m,0,0
64040,270,0,0,0,0,M,m,0,0
64060,269,0,0,0,0,M,m,0,0
64080,270,0,0,0,0,M,m,0,0
