t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
70680,251,0,0,0,0,M,x,0,0
70700,251,0,0,0,0,M,x,0,0
70720,251,0,0,0,0,M,x,0,0
70740,251,0,0,0,0,M,x,0,0
70760,250,0,0,0,0,M,x,0,0
70780,251,0,0,0,0,M,x,0,0
70800,251,0,0,0,0,M,x,0,0
70820,251,0,0,0,0,M,x,0,0
70840,251,0,0,0,0,M,x,0,0
70860,251,0,0,0,0,M,x,0,0
70880,251,0,0,0,0,M,x,0,0
70900,251,0,0,0,0,M,x,0,0
70920,251,0,0,0,0,M,x,0,0
70940,251,0,0,0,0,M,x,0,0
70960,250,0,0,0,0,M,x,0,0
70980,251,0,0,0,0,M,x,0,0
71000,251,0,0,0,0,M,x,0,0
71020,251,0,0,0,0,M,x,0,0
71040,251,0,0,0,0,M,x,0,0
71060,250,0,0,0,0,M,x,0,0
71080,251,0,0,0,0,M,x,0,0
71100,251,0,0,0,0,M,x,0,0
71120,251,0,0,0,0,M,x,0,0
71140,251,0,0,0,0,M,x,0,0
71160,250,0,0,0,0,M,x,0,0
71180,251,0,0,0,0,M,x,0,0
71200,251,0,0,0,0,M,x,0,0
71220,251,0,0,0,0,M,x,0,0
71240,251,0,0,0,0,M,x,0,0
71260,251,0,0,0,0,M,x,0,0
71280,251,0,0,0,0,M,x,0,0
71300,251,0,0,0,0,M,x,0,0
71320,251,0,0,0,0,M,x,0,0
71340,251,0,0,0,0,M,x,0,0
71360,251,0,0,0,0,M,x,0,0
71380,251,0,0,0,0,M,x,0,0
71400,250,0,0,0,0,M,x,0,0
71420,251,0,0,0,0,M,x,0,0
71440,251,0,0,0,0,M,x,0,0
71460,250,0,0,0,0,M,x,0,0
71480,251,0,0,0,0,M,x,0,0
71500,251,0,0,0,0,M,x,0,0
71520,251,0,0,0,0,M,x,0,0
71540,251,0,0,0,0,M,x,0,0
71560,251,0,0,0,0,M,x,0,0
71580,251,0,0,0,0,M,x,0,0
71600,251,0,0,0,0,M,x,0,0
71620,251,0,0,0,0,M,x,0,0
71640,251,0,0,0,0,M,x,0,0
71660,250,0,0,0,0,M,x,0,0
71680,251,0,0,0,0,M,x,0,0
71700,251,0,0,0,0,M,x,0,0
71720,251,0,0,0,0,M,x,0,0
71740,251,0,0,0,0,M,x,0,0
71760,251,0,0,0,0,M,x,0,0
71780,251,0,0,0,0,M,x,0,0
71800,251,0,0,0,0,M,x,0,0
71820,251,0,0,0,0,M,x,0,0
71840,251,0,0,0,0,M,x,0,0
71860,250,0,0,0,0,M,x,0,0
71880,251,0,0,0,0,M,x,0,0
71900,251,0,0,0,0,M,x,0,0
71920,251,0,0,0,0,M,x,0,0
71940,251,0,0,0,0,M,x,0,0
71960,251,0,0,0,0,M,x,0,0
71980,251,0,0,0,0,M,x,0,0
72000,251,0,0,0,0,M,x,0,0
72020,251,0,0,0,0,M,x,0,0
72040,251,0,0,0,0,M,x,0,0
72060,251,0,0,0,0,M,x,0,0
72080,251,0,0,0,0,M,x,0,0
72100,251,0,0,0,0,M,x,0,0
72120,251,0,0,0,0,M,x,0,0
72140,251,0,0,0,0,M,x,0,0
72160,251,0,0,0,0,M,x,0,0
72180,251,0,0,0,0,M,x,0,0
72200,250,0,0,0,0,M,x,0,0
72220,251,0,0,0,0,M,x,0,0
72240,251,0,0,0,0,M,x,0,0
72260,251,0,0,0,0,M,x,0,0
72280,251,0,0,0,0,M,x,0,0
72300,251,0,0,0,0,M,x,0,0
72320,251,0,0,0,0,M,x,0,0
72340,251,0,0,0,0,M,x,0,0
72360,251,0,0,0,0,M,x,0,0
