t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
303000,245,341,282,0,0,M,x,0,0
304000,244,341,282,0,0,M,x,0,0
305000,243,341,282,0,0,M,m,0,0
306000,242,352,290,11,8,M,w,100,70
307000,248,412,344,60,54,M,x,0,0
308000,241,412,344,0,0,M,x,0,0
309000,227,412,344,0,0,M,x,0,0
310000,241,412,344,0,0,M,x,0,0
311000,223,412,344,0,0,M,x,0,0
312000,217,412,344,0,0,M,x,0,0
313000,226,412,344,0,0,M,x,0,0
314000,228,416,346,4,2,M,x,0,0
315000,226,424,349,8,3,M,x,0,0
316000,226,430,353,6,4,M,x,0,0
317000,227,430,353,0,0,M,x,0,0
