t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
6000,233,0,0,0,0,M,x,0,0
7000,234,0,0,0,0,M,m,0,0
8000,255,34,32,34,32,M,x,0,0
9000,262,55,54,21,22,M,x,0,0
10000,224,110,111,55,57,M,w,200,175
11000,195,131,135,21,24,M,x,0,0
12000,188,144,149,13,14,M,x,0,0
13000,208,147,152,3,3,M,w,200,175
14000,186,174,178,27,26,M,x,0,0
15000,214,186,191,12,13,M,x,0,0
16000,233,215,220,29,29,M,w,200,175
17000,233,247,250,32,30,M,x,0,0
18000,230,261,264,14,14,M,x,0,0
19000,234,275,278,14,14,M,w,200,175
20000,238,310,311,35,33,M,w,200,175
21000,248,343,343,33,32,M,x,0,0
22000,248,361,360,18,17,M,w,200,175
23000,239,399,396,38,36,M,w,200,175
24000,232,435,431,36,35,M,x,0,0
25000,239,461,454,26,23,M,w,200,175
26000,240,495,487,34,33,M,x,0,0
27000,244,528,519,33,32,M,w,200,175
28000,242,564,553,36,34,M,w,200,175
29000,240,591,577,27,24,M,x,0,0
30000,246,607,591,16,14,M,x,0,0
31000,257,629,610,22,19,M,x,0,0
32000,257,633,613,4,3,M,x,0,0
33000,253,636,617,3,4,M,x,0,0
34000,257,640,620,4,3,M,x,0,0
35000,254,642,621,2,1,M,x,0,0
36000,254,652,631,10,10,M,w,200,175
37000,258,664,641,12,10,M,x,0,0
38000,261,667,644,3,3,M,x,0,0
39000,260,671,648,4,4,M,x,0,0
40000,259,675,652,4,4,M,a,180,-180
41000,243,678,656,3,4,M,x,0,0
42000,247,681,658,3,2,M,x,0,0
43000,253,683,662,2,4,M,x,0,0
44000,250,683,662,0,0,M,x,0,0
45000,247,683,662,0,0,M,x,0,0
46000,244,686,665,3,3,M,x,0,0
47000,247,692,670,6,5,M,x,0,0
48000,251,693,671,1,1,M,x,0,0
49000,256,696,674,3,3,M,x,0,0
50000,249,706,683,10,9,M,x,0,0
51000,243,740,715,34,32,M,x,0,0
52000,245,757,731,17,16,M,x,0,0
53000,227,789,762,32,31,M,w,200,175
54000,230,822,795,33,33,M,x,0,0
55000,209,831,804,9,9,M,x,0,0
56000,187,833,806,2,2,M,x,0,0
57000,173,841,811,8,5,M,w,200,175
58000,170,844,814,3,3,M,x,0,0
59000,162,844,814,0,0,M,x,0,0
60000,166,845,816,1,2,M,x,0,0
61000,167,846,816,1,0,M,x,0,0
62000,170,846,816,0,0,M,x,0,0
63000,167,848,816,2,0,M,x,0,0
64000,170,852,816,4,0,M,x,0,0
65000,180,852,816,0,0,M,x,0,0
66000,176,852,816,0,0,M,x,0,0
67000,170,852,816,0,0,M,x,0,0
68000,169,852,816,0,0,M,x,0,0
69000,205,853,817,1,1,M,x,0,0
70000,216,853,817,0,0,M,x,0,0
71000,214,867,828,14,11,M,x,0,0
72000,217,890,848,23,20,M,x,0,0
73000,220,919,875,29,27,M,x,0,0
74000,221,946,901,27,26,M,x,0,0
75000,221,975,929,29,28,M,w,200,175
76000,220,991,945,16,16,M,x,0,0
77000,205,998,952,7,7,M,x,0,0
78000,213,1000,954,2,2,M,x,0,0
79000,209,1006,958,6,4,M,x,0,0
80000,213,1009,961,3,3,M,x,0,0
81000,210,1013,966,4,5,M,x,0,0
82000,208,1015,967,2,1,M,x,0,0
83000,196,1015,967,0,0,M,x,0,0
84000,194,1015,967,0,0,M,x,0,0
85000,193,1015,967,0,0,M,x,0,0
86000,194,1015,967,0,0,M,x,0,0
87000,193,1015,967,0,0,M,x,0,0
88000,188,1015,967,0,0,M,x,0,0
89000,187,1015,967,0,0,M,x,0,0
90000,185,1015,967,0,0,M,x,0,0
91000,185,1015,967,0,0,M,x,0,0
92000,185,1015,967,0,0,M,x,0,0
93000,173,1015,967,0,0,M,x,0,0
94000,181,1015,968,0,1,M,x,0,0
95000,179,1015,968,0,0,M,x,0,0
96000,176,1015,968,0,0,M,x,0,0
97000,174,1015,968,0,0,M,x,0,0
98000,177,1015,968,0,0,M,x,0,0
99000,180,1015,968,0,0,M,x,0,0
100000,182,1015,968,0,0,M,x,0,0
101000,182,1015,968,0,0,M,x,0,0
102000,181,1015,968,0,0,M,x,0,0
103000,181,1015,968,0,0,M,x,0,0
104000,181,1015,968,0,0,M,x,0,0
105000,197,1015,968,0,0,M,x,0,0
106000,197,1015,968,0,0,M,x,0,0
107000,197,1015,968,0,0,M,x,0,0
108000,197,1023,975,8,7,M,w,200,175
109000,196,1034,986,11,11,M,x,0,0
110000,228,1060,1012,26,26,M,x,0,0
111000,220,1062,1013,2,1,M,x,0,0
112000,215,1067,1019,5,6,M,x,0,0
113000,230,1070,1021,3,2,M,x,0,0
114000,218,1072,1026,2,5,M,x,0,0
115000,224,1078,1032,6,6,M,x,0,0
116000,232,1090,1041,12,9,M,x,0,0
117000,238,1104,1053,14,12,M,x,0,0
118000,251,1128,1075,24,22,M,x,0,0
119000,261,1148,1092,20,17,M,x,0,0
120000,265,1167,1109,19,17,M,w,200,175
121000,269,1211,1151,44,42,M,x,0,0
122000,236,1247,1185,36,34,M,w,200,175
123000,218,1265,1207,18,22,M,x,0,0
