t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
26300,245,0,0,0,0,M,x,0,0
26320,245,0,0,0,0,M,x,0,0
26340,245,0,0,0,0,M,x,0,0
26360,245,0,0,0,0,M,x,0,0
26380,245,0,0,0,0,M,x,0,0
26400,245,0,0,0,0,M,x,0,0
26420,245,0,0,0,0,M,x,0,0
26440,245,0,0,0,0,M,x,0,0
26460,245,0,0,0,0,M,x,0,0
26480,245,0,0,0,0,M,x,0,0
26500,245,0,0,0,0,M,x,0,0
26520,245,0,0,0,0,M,x,0,0
26540,245,0,0,0,0,M,x,0,0
26560,246,0,0,0,0,M,x,0,0
26580,245,0,0,0,0,M,x,0,0
26600,245,0,0,0,0,M,x,0,0
26620,245,0,0,0,0,M,x,0,0
26640,245,0,0,0,0,M,x,0,0
26660,245,0,0,0,0,M,x,0,0
26680,245,0,0,0,0,M,x,0,0
26700,245,0,0,0,0,M,x,0,0
26720,245,0,0,0,0,M,x,0,0
26740,245,0,0,0,0,M,x,0,0
26760,246,0,0,0,0,M,x,0,0
26780,245,0,0,0,0,M,x,0,0
26800,245,0,0,0,0,M,x,0,0
26820,245,0,0,0,0,M,x,0,0
26840,245,0,0,0,0,M,x,0,0
26860,246,0,0,0,0,M,x,0,0
26880,245,0,0,0,0,M,x,0,0
26900,245,0,0,0,0,M,x,0,0
26920,245,0,0,0,0,M,x,0,0
26940,245,0,0,0,0,M,x,0,0
26960,246,0,0,0,0,M,x,0,0
26980,245,0,0,0,0,M,x,0,0
27000,245,0,0,0,0,M,x,0,0
27020,245,0,0,0,0,M,x,0,0
27040,245,0,0,0,0,M,x,0,0
27060,246,0,0,0,0,M,x,0,0
27080,245,0,0,0,0,M,x,0,0
27100,245,0,0,0,0,M,x,0,0
27120,245,0,0,0,0,M,x,0,0
27140,245,0,0,0,0,M,x,0,0
27160,246,0,0,0,0,M,x,0,0
27180,245,0,0,0,0,M,x,0,0
27200,246,0,0,0,0,M,x,0,0
27220,245,0,0,0,0,M,x,0,0
27240,245,0,0,0,0,M,x,0,0
27260,245,0,0,0,0,M,x,0,0
27280,245,0,0,0,0,M,x,0,0
27300,245,0,0,0,0,M,x,0,0
27320,245,0,0,0,0,M,x,0,0
27340,245,0,0,0,0,M,x,0,0
27360,246,0,0,0,0,M,x,0,0
27380,245,0,0,0,0,M,x,0,0
27400,246,0,0,0,0,M,x,0,0
27420,245,0,0,0,0,M,x,0,0
27440,245,0,0,0,0,M,x,0,0
27460,246,0,0,0,0,M,x,0,0
27480,245,0,0,0,0,M,x,0,0
27500,246,0,0,0,0,M,x,0,0
27520,245,0,0,0,0,M,x,0,0
27540,245,0,0,0,0,M,x,0,0
27560,246,0,0,0,0,M,x,0,0
27580,245,0,0,0,0,M,x,0,0
27600,246,0,0,0,0,M,x,0,0
27620,245,0,0,0,0,M,x,0,0
27640,245,0,0,0,0,M,x,0,0
27660,246,0,0,0,0,M,x,0,0
27680,245,0,0,0,0,M,x,0,0
27700,246,0,0,0,0,M,x,0,0
27720,245,0,0,0,0,M,x,0,0
27740,245,0,0,0,0,M,x,0,0
27760,246,0,0,0,0,M,x,0,0
27780,245,0,0,0,0,M,x,0,0
27800,246,0,0,0,0,M,x,0,0
27820,245,0,0,0,0,M,x,0,0
27840,245,0,0,0,0,M,x,0,0
27860,245,0,0,0,0,M,x,0,0
27880,245,0,0,0,0,M,x,0,0
27900,246,0,0,0,0,M,x,0,0
27920,245,0,0,0,0,M,x,0,0
27940,245,0,0,0,0,M,x,0,0
27960,246,0,0,0,0,M,x,0,0
27980,245,0,0,0,0,M,x,0,0
28000,246,0,0,0,0,M,x,0,0
28020,245,0,0,0,0,M,x,0,0
28040,245,0,0,0,0,M,x,0,0
28060,246,0,0,0,0,M,x,0,0
28080,245,0,0,0,0,M,x,0,0
28100,246,0,0,0,0,M,x,0,0
28120,245,0,0,0,0,M,x,0,0
28140,245,0,0,0,0,M,x,0,0
28160,245,0,0,0,0,M,x,0,0
28180,245,0,0,0,0,M,x,0,0
28200,246,0,0,0,0,M,x,0,0
28220,245,0,0,0,0,M,x,0,0
28240,245,0,0,0,0,M,x,0,0
28260,245,0,0,0,0,M,x,0,0
28280,245,0,0,0,0,M,x,0,0
28300,246,0,0,0,0,M,x,0,0
28320,245,0,0,0,0,M,x,0,0
28340,246,0,0,0,0,M,x,0,0
28360,246,0,0,0,0,M,x,0,0
28380,245,0,0,0,0,M,x,0,0
28400,246,0,0,0,0,M,x,0,0
28420,245,0,0,0,0,M,x,0,0
28440,245,0,0,0,0,M,x,0,0
28460,246,0,0,0,0,M,x,0,0
28480,245,0,0,0,0,M,x,0,0
28500,246,0,0,0,0,A,u,0,0
28520,245,0,0,0,0,A,u,0,0
28540,246,0,0,0,0,A,u,0,0
28560,246,0,0,0,0,A,u,0,0
28580,245,0,0,0,0,A,u,0,0
28600,246,0,0,0,0,A,u,0,0
28620,245,0,0,0,0,A,u,0,0
28640,245,0,0,0,0,A,u,0,0
28660,246,0,0,0,0,A,u,0,0
28680,245,0,0,0,0,A,u,0,0
28700,246,0,0,0,0,A,u,0,0
28720,245,0,0,0,0,A,u,0,0
28740,246,0,0,0,0,A,u,0,0
28760,245,0,0,0,0,A,u,0,0
28780,245,0,0,0,0,A,u,0,0
28800,246,0,0,0,0,A,u,0,0
28820,245,0,0,0,0,A,u,0,0
28840,246,0,0,0,0,A,u,0,0
28860,245,0,0,0,0,A,u,0,0
28880,245,0,0,0,0,A,u,0,0
28900,246,0,0,0,0,A,u,0,0
28920,245,0,0,0,0,A,u,0,0
28940,246,0,0,0,0,A,u,0,0
28960,246,0,0,0,0,A,u,0,0
28980,245,0,0,0,0,A,u,0,0
29000,246,0,0,0,0,A,u,0,0
29020,245,0,0,0,0,A,u,0,0
29040,246,0,0,0,0,A,u,0,0
29060,245,0,0,0,0,A,u,0,0
29080,245,0,0,0,0,A,u,0,0
29100,246,0,0,0,0,A,u,0,0
29120,245,0,0,0,0,A,u,0,0
29140,246,0,0,0,0,A,u,0,0
29160,245,0,0,0,0,A,u,0,0
