t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
57000,227,11,43,0,0,M,x,0,0
58000,226,12,43,1,0,M,m,0,0
59000,213,18,46,6,3,M,m,0,0
60000,218,52,46,34,0,M,m,0,0
61000,231,79,46,27,0,M,m,0,0
62000,230,89,50,10,4,M,m,0,0
63000,227,89,59,0,9,M,m,0,0
64000,227,89,103,0,44,M,m,0,0
65000,227,89,109,0,6,M,m,0,0
66000,227,89,110,0,1,M,m,0,0
67000,227,89,128,0,18,M,m,0,0
68000,231,89,131,0,3,M,m,0,0
69000,230,89,131,0,0,M,m,0,0
70000,230,90,131,1,0,M,m,0,0
71000,230,91,135,1,4,M,m,0,0
72000,230,91,163,0,28,M,m,0,0
73000,230,91,163,0,0,M,m,0,0
74000,230,91,163,0,0,M,m,0,0
75000,229,91,163,0,0,M,m,0,0
76000,229,91,163,0,0,M,m,0,0
77000,229,91,171,0,8,M,m,0,0
78000,229,93,179,2,8,M,w,200,200
79000,233,98,185,5,6,M,x,0,0
80000,232,98,190,0,5,M,x,0,0
81000,235,98,191,0,1,M,x,0,0
82000,237,98,191,0,0,M,x,0,0
83000,236,98,192,0,1,M,x,0,0
84000,237,98,192,0,0,M,x,0,0
85000,237,98,194,0,2,M,x,0,0
86000,238,98,194,0,0,M,x,0,0
87000,238,98,194,0,0,M,x,0,0
88000,238,98,196,0,2,M,x,0,0
89000,234,98,196,0,0,M,x,0,0
90000,244,110,208,12,12,M,x,0,0
91000,255,146,243,36,35,M,s,-200,-200
92000,284,191,290,45,47,M,x,0,0
93000,232,233,326,42,36,M,x,0,0
94000,279,263,355,30,29,M,x,0,0
95000,264,301,389,38,34,M,x,0,0
96000,266,325,408,24,19,M,x,0,0
97000,284,325,408,0,0,M,x,0,0
98000,284,325,408,0,0,M,x,0,0
99000,281,325,408,0,0,M,x,0,0
100000,273,325,408,0,0,M,w,200,200
101000,202,369,446,44,38,M,x,0,0
102000,159,398,477,29,31,M,w,200,200
103000,168,424,504,26,27,M,x,0,0
104000,145,438,519,14,15,M,x,0,0
105000,148,461,543,23,24,M,x,0,0
