t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
97920,248,0,0,0,0,M,x,0,0
97940,248,0,0,0,0,M,x,0,0
97960,247,0,0,0,0,M,x,0,0
97980,248,0,0,0,0,M,x,0,0
98000,247,0,0,0,0,M,x,0,0
98020,248,0,0,0,0,M,x,0,0
98040,248,0,0,0,0,M,x,0,0
98060,247,0,0,0,0,M,x,0,0
98080,248,0,0,0,0,M,x,0,0
98100,248,0,0,0,0,M,x,0,0
98120,248,0,0,0,0,M,x,0,0
98140,248,0,0,0,0,M,x,0,0
98160,249,0,0,0,0,M,x,0,0
98180,249,0,0,0,0,M,x,0,0
98200,249,0,0,0,0,M,x,0,0
98220,249,0,0,0,0,M,x,0,0
98240,249,0,0,0,0,M,x,0,0
98260,250,0,0,0,0,M,x,0,0
98280,250,0,0,0,0,M,x,0,0
98300,250,0,0,0,0,M,x,0,0
98320,250,0,0,0,0,M,x,0,0
98340,251,0,0,0,0,M,x,0,0
98360,251,0,0,0,0,M,x,0,0
98380,251,0,0,0,0,M,x,0,0
98400,250,0,0,0,0,M,x,0,0
98420,251,0,0,0,0,M,x,0,0
98440,250,0,0,0,0,M,x,0,0
98460,250,0,0,0,0,M,x,0,0
98480,251,0,0,0,0,M,x,0,0
98500,250,0,0,0,0,M,x,0,0
98520,250,0,0,0,0,M,x,0,0
98540,250,0,0,0,0,M,x,0,0
98560,250,0,0,0,0,M,x,0,0
98580,251,0,0,0,0,M,x,0,0
98600,250,0,0,0,0,M,x,0,0
98620,250,0,0,0,0,M,x,0,0
98640,250,0,0,0,0,M,x,0,0
98660,250,0,0,0,0,M,x,0,0
98680,250,0,0,0,0,M,x,0,0
98700,249,0,0,0,0,M,x,0,0
98720,250,0,0,0,0,M,x,0,0
98740,249,0,0,0,0,M,x,0,0
98760,249,0,0,0,0,M,x,0,0
98780,250,0,0,0,0,M,x,0,0
98800,249,0,0,0,0,M,x,0,0
98820,250,0,0,0,0,M,x,0,0
98840,250,0,0,0,0,M,x,0,0
98860,250,0,0,0,0,M,x,0,0
98880,250,0,0,0,0,M,x,0,0
98900,250,0,0,0,0,M,x,0,0
98920,251,0,0,0,0,M,x,0,0
98940,251,0,0,0,0,M,x,0,0
98960,251,0,0,0,0,M,x,0,0
98980,251,0,0,0,0,M,x,0,0
99000,251,0,0,0,0,M,x,0,0
99020,251,0,0,0,0,M,x,0,0
