t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
90560,254,0,0,0,0,M,x,0,0
90580,254,0,0,0,0,M,x,0,0
90600,254,0,0,0,0,M,x,0,0
90620,254,0,0,0,0,M,x,0,0
90640,254,0,0,0,0,M,x,0,0
90660,254,0,0,0,0,M,x,0,0
90680,254,0,0,0,0,M,x,0,0
90700,254,0,0,0,0,M,x,0,0
90720,254,0,0,0,0,M,x,0,0
90740,254,0,0,0,0,M,x,0,0
90760,254,0,0,0,0,M,x,0,0
90780,254,0,0,0,0,M,x,0,0
90800,254,0,0,0,0,M,x,0,0
90820,254,0,0,0,0,M,x,0,0
90840,254,0,0,0,0,M,x,0,0
90860,254,0,0,0,0,M,x,0,0
90880,254,0,0,0,0,M,x,0,0
90900,254,0,0,0,0,M,x,0,0
90920,254,0,0,0,0,M,x,0,0
90940,254,0,0,0,0,M,x,0,0
90960,254,0,0,0,0,M,x,0,0
90980,254,0,0,0,0,M,x,0,0
91000,254,0,0,0,0,M,x,0,0
91020,254,0,0,0,0,M,x,0,0
91040,254,0,0,0,0,M,x,0,0
91060,254,0,0,0,0,M,x,0,0
91080,254,0,0,0,0,M,x,0,0
91100,254,0,0,0,0,M,x,0,0
91120,254,0,0,0,0,M,x,0,0
91140,254,0,0,0,0,M,x,0,0
91160,254,0,0,0,0,M,x,0,0
91180,254,0,0,0,0,M,x,0,0
91200,254,0,0,0,0,M,x,0,0
91220,254,0,0,0,0,M,x,0,0
91240,254,0,0,0,0,M,x,0,0
91260,254,0,0,0,0,M,x,0,0
91280,254,0,0,0,0,M,x,0,0
91300,254,0,0,0,0,M,x,0,0
91320,254,0,0,0,0,M,x,0,0
91340,254,0,0,0,0,M,x,0,0
91360,254,0,0,0,0,M,x,0,0
91380,254,0,0,0,0,M,x,0,0
91400,254,0,0,0,0,M,x,0,0
91420,254,0,0,0,0,M,x,0,0
91440,254,0,0,0,0,M,x,0,0
91460,254,0,0,0,0,M,x,0,0
91480,254,0,0,0,0,M,x,0,0
91500,254,0,0,0,0,M,x,0,0
91520,254,0,0,0,0,M,x,0,0
91540,254,0,0,0,0,M,x,0,0
91560,254,0,0,0,0,M,x,0,0
91580,254,0,0,0,0,M,x,0,0
91600,254,0,0,0,0,M,x,0,0
91620,254,0,0,0,0,M,x,0,0
91640,254,0,0,0,0,M,x,0,0
91660,254,0,0,0,0,M,x,0,0
91680,254,0,0,0,0,M,x,0,0
91700,254,0,0,0,0,M,x,0,0
91720,254,0,0,0,0,M,x,0,0
91740,254,0,0,0,0,M,x,0,0
91760,254,0,0,0,0,M,x,0,0
91780,254,0,0,0,0,M,x,0,0
91800,254,0,0,0,0,M,x,0,0
91820,254,0,0,0,0,M,x,0,0
91840,254,0,0,0,0,M,x,0,0
91860,254,0,0,0,0,M,x,0,0
91880,254,0,0,0,0,M,x,0,0
91900,254,0,0,0,0,M,x,0,0
91920,254,0,0,0,0,M,x,0,0
91940,254,0,0,0,0,M,x,0,0
91960,254,0,0,0,0,M,x,0,0
91980,254,0,0,0,0,M,x,0,0
92000,254,0,0,0,0,M,x,0,0
92020,254,0,0,0,0,M,x,0,0
92040,255,0,0,0,0,M,x,0,0
92060,254,0,0,0,0,M,x,0,0
92080,254,0,0,0,0,M,x,0,0
92100,254,0,0,0,0,M,x,0,0
92120,254,0,0,0,0,M,x,0,0
92140,254,0,0,0,0,M,x,0,0
92160,254,0,0,0,0,M,x,0,0
92180,254,0,0,0,0,M,x,0,0
92200,254,0,0,0,0,M,x,0,0
92220,254,0,0,0,0,M,x,0,0
92240,254,0,0,0,0,M,x,0,0
92260,254,0,0,0,0,M,x,0,0
92280,254,0,0,0,0,M,x,0,0
