t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
296320,250,0,0,0,0,M,x,0,0
296340,250,0,0,0,0,M,x,0,0
296360,250,0,0,0,0,M,x,0,0
296380,250,0,0,0,0,M,x,0,0
296400,250,0,0,0,0,M,x,0,0
296420,250,0,0,0,0,M,x,0,0
296440,250,0,0,0,0,M,x,0,0
296460,250,0,0,0,0,M,x,0,0
296480,250,0,0,0,0,M,x,0,0
296500,250,0,0,0,0,M,x,0,0
296520,250,0,0,0,0,M,x,0,0
296540,250,0,0,0,0,M,x,0,0
296560,250,0,0,0,0,M,x,0,0
296580,250,0,0,0,0,M,x,0,0
296600,250,0,0,0,0,M,x,0,0
296620,250,0,0,0,0,M,x,0,0
296640,250,0,0,0,0,M,x,0,0
296660,250,0,0,0,0,M,x,0,0
296680,250,0,0,0,0,M,x,0,0
296700,250,0,0,0,0,M,x,0,0
296720,250,0,0,0,0,M,x,0,0
296740,250,0,0,0,0,M,x,0,0
296760,250,0,0,0,0,M,x,0,0
296780,249,0,0,0,0,M,x,0,0
296800,250,0,0,0,0,M,x,0,0
296820,250,0,0,0,0,M,x,0,0
296840,250,0,0,0,0,M,x,0,0
296860,250,0,0,0,0,M,x,0,0
296880,250,0,0,0,0,M,x,0,0
296900,250,0,0,0,0,M,x,0,0
296920,250,0,0,0,0,M,x,0,0
296940,250,0,0,0,0,M,x,0,0
296960,250,0,0,0,0,M,x,0,0
296980,250,0,0,0,0,M,x,0,0
297000,250,0,0,0,0,M,x,0,0
297020,250,0,0,0,0,M,x,0,0
297040,250,0,0,0,0,M,x,0,0
297060,250,0,0,0,0,M,x,0,0
297080,250,0,0,0,0,M,x,0,0
297100,250,0,0,0,0,M,x,0,0
297120,250,0,0,0,0,M,x,0,0
297140,250,0,0,0,0,M,x,0,0
297160,250,0,0,0,0,M,x,0,0
297180,250,0,0,0,0,M,x,0,0
297200,250,0,0,0,0,M,x,0,0
297220,250,0,0,0,0,M,x,0,0
297240,250,0,0,0,0,M,x,0,0
297260,250,0,0,0,0,M,x,0,0
297280,250,0,0,0,0,M,x,0,0
297300,250,0,0,0,0,M,x,0,0
297320,250,0,0,0,0,M,x,0,0
297340,250,0,0,0,0,M,x,0,0
297360,250,0,0,0,0,M,x,0,0
297380,250,0,0,0,0,M,x,0,0
297400,250,0,0,0,0,M,x,0,0
297420,250,0,0,0,0,M,x,0,0
297440,250,0,0,0,0,M,x,0,0
297460,250,0,0,0,0,M,x,0,0
297480,250,0,0,0,0,M,x,0,0
297500,250,0,0,0,0,M,x,0,0
297520,250,0,0,0,0,M,x,0,0
297540,250,0,0,0,0,M,x,0,0
297560,250,0,0,0,0,M,x,0,0
297580,250,0,0,0,0,M,x,0,0
297600,250,0,0,0,0,M,x,0,0
297620,250,0,0,0,0,M,x,0,0
297640,250,0,0,0,0,M,x,0,0
297660,250,0,0,0,0,M,x,0,0
297680,249,0,0,0,0,M,x,0,0
297700,250,0,0,0,0,M,x,0,0
297720,250,0,0,0,0,M,x,0,0
297740,250,0,0,0,0,M,x,0,0
297760,250,0,0,0,0,M,x,0,0
297780,250,0,0,0,0,M,x,0,0
297800,250,0,0,0,0,M,x,0,0
297820,250,0,0,0,0,M,x,0,0
297840,250,0,0,0,0,M,x,0,0
297860,250,0,0,0,0,M,x,0,0
297880,250,0,0,0,0,M,x,0,0
297900,250,0,0,0,0,M,x,0,0
297920,250,0,0,0,0,M,x,0,0
297940,250,0,0,0,0,M,x,0,0
297960,250,0,0,0,0,M,x,0,0
297980,250,0,0,0,0,M,x,0,0
298000,250,0,0,0,0,M,x,0,0
298020,250,0,0,0,0,M,x,0,0
298040,250,0,0,0,0,M,x,0,0
298060,250,0,0,0,0,M,x,0,0
298080,250,0,0,0,0,M,x,0,0
298100,250,0,0,0,0,M,x,0,0
298120,250,0,0,0,0,M,x,0,0
298140,250,0,0,0,0,M,x,0,0
298160,250,0,0,0,0,M,x,0,0
298180,250,0,0,0,0,M,x,0,0
298200,250,0,0,0,0,M,x,0,0
298220,250,0,0,0,0,M,x,0,0
298240,250,0,0,0,0,M,x,0,0
298260,250,0,0,0,0,M,x,0,0
298280,250,0,0,0,0,M,x,0,0
298300,250,0,0,0,0,M,x,0,0
298320,250,0,0,0,0,M,x,0,0
298340,250,0,0,0,0,M,x,0,0
298360,250,0,0,0,0,M,x,0,0
298380,250,0,0,0,0,M,x,0,0
298400,250,0,0,0,0,M,x,0,0
298420,250,0,0,0,0,M,x,0,0
298440,250,0,0,0,0,M,x,0,0
