t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
5000,262,0,0,0,0,M,x,0,0
6000,262,0,0,0,0,M,x,0,0
7000,260,0,0,0,0,M,m,0,0
8000,261,0,0,0,0,M,m,0,0
9000,264,41,41,41,41,M,x,0,0
10000,229,61,61,20,20,M,x,0,0
11000,206,83,86,22,25,M,s,-200,-200
12000,196,90,92,7,6,M,x,0,0
13000,189,90,92,0,0,M,x,0,0
14000,181,90,92,0,0,M,x,0,0
15000,181,91,92,1,0,M,x,0,0
16000,191,91,92,0,0,M,x,0,0
17000,200,91,92,0,0,M,x,0,0
18000,197,108,111,17,19,M,x,0,0
19000,186,127,129,19,18,M,s,-200,-200
20000,179,147,150,20,21,M,w,200,200
21000,188,167,172,20,22,M,x,0,0
22000,197,167,172,0,0,M,x,0,0
23000,207,173,179,6,7,M,x,0,0
24000,212,203,212,30,33,M,x,0,0
25000,204,219,229,16,17,M,s,-200,-200
26000,206,234,247,15,18,M,x,0,0
27000,206,234,247,0,0,M,x,0,0
28000,206,234,247,0,0,M,x,0,0
29000,211,250,264,16,17,M,w,200,200
30000,268,288,308,38,44,M,x,0,0
31000,283,304,327,16,19,M,s,-200,-200
32000,260,339,362,35,35,M,s,-200,-200
33000,258,350,373,11,11,M,x,0,0
34000,260,356,379,6,6,M,x,0,0
35000,262,362,386,6,7,M,x,0,0
36000,260,372,399,10,13,M,x,0,0
37000,261,382,405,10,6,M,x,0,0
38000,260,401,425,19,20,M,x,0,0
39000,254,412,441,11,16,M,x,0,0
40000,253,426,454,14,13,M,x,0,0
41000,248,431,462,5,8,M,s,-200,-200
42000,245,447,479,16,17,M,x,0,0
43000,253,462,494,15,15,M,x,0,0
44000,261,479,514,17,20,M,x,0,0
45000,261,487,522,8,8,M,x,0,0
46000,261,487,522,0,0,M,x,0,0
47000,264,487,522,0,0,M,x,0,0
48000,255,487,522,0,0,M,x,0,0
49000,238,487,522,0,0,M,x,0,0
50000,281,488,522,1,0,M,x,0,0
