t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
3000,229,0,0,0,0,M,x,0,0
4000,229,0,0,0,0,M,m,0,0
5000,237,23,21,23,21,M,x,0,0
6000,229,31,30,8,9,M,a,180,-180
7000,250,48,50,17,20,M,a,180,-180
8000,254,66,70,18,20,M,w,200,175
9000,242,86,96,20,26,M,x,0,0
10000,250,108,121,22,25,M,x,0,0
11000,250,118,132,10,11,M,x,0,0
12000,252,138,154,20,22,M,w,200,175
13000,245,158,178,20,24,M,x,0,0
14000,251,181,205,23,27,M,a,180,-180
15000,249,192,219,11,14,M,x,0,0
16000,253,201,227,9,8,M,x,0,0
17000,253,214,235,13,8,M,x,0,0
18000,242,227,245,13,10,M,x,0,0
19000,243,234,251,7,6,M,x,0,0
20000,243,234,251,0,0,M,x,0,0
21000,243,234,251,0,0,M,x,0,0
22000,242,234,251,0,0,M,x,0,0
23000,242,234,251,0,0,M,x,0,0
24000,239,234,251,0,0,M,x,0,0
25000,242,234,251,0,0,M,x,0,0
26000,241,240,256,6,5,M,w,200,175
27000,243,260,277,20,21,M,a,180,-180
28000,250,276,293,16,16,M,x,0,0
29000,243,309,323,33,30,M,x,0,0
30000,220,338,351,29,28,M,w,200,175
