t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
7780,496,0,0,0,0,M,x,0,0
7800,496,0,0,0,0,M,x,0,0
7820,496,0,0,0,0,M,x,0,0
7840,496,0,0,0,0,M,x,0,0
7860,496,0,0,0,0,M,x,0,0
7880,496,0,0,0,0,M,x,0,0
7900,496,0,0,0,0,M,x,0,0
7920,496,0,0,0,0,M,x,0,0
7940,496,0,0,0,0,M,x,0,0
7960,496,0,0,0,0,M,x,0,0
7980,496,0,0,0,0,M,x,0,0
8000,496,0,0,0,0,M,x,0,0
8020,496,0,0,0,0,M,x,0,0
8040,496,0,0,0,0,M,x,0,0
8060,496,0,0,0,0,M,x,0,0
8080,496,0,0,0,0,M,x,0,0
8100,496,0,0,0,0,M,x,0,0
8120,497,0,0,0,0,M,x,0,0
8140,496,0,0,0,0,M,x,0,0
8160,496,0,0,0,0,M,x,0,0
8180,496,0,0,0,0,M,x,0,0
8200,496,0,0,0,0,M,x,0,0
8220,496,0,0,0,0,M,x,0,0
8240,496,0,0,0,0,M,x,0,0
8260,496,0,0,0,0,M,x,0,0
8280,496,0,0,0,0,M,x,0,0
8300,496,0,0,0,0,M,x,0,0
8320,496,0,0,0,0,M,x,0,0
8340,496,0,0,0,0,M,x,0,0
8360,496,0,0,0,0,M,x,0,0
8380,496,0,0,0,0,M,x,0,0
8400,496,0,0,0,0,M,x,0,0
8420,496,0,0,0,0,M,x,0,0
8440,496,0,0,0,0,M,x,0,0
8460,496,0,0,0,0,M,x,0,0
8480,496,0,0,0,0,M,x,0,0
8500,496,0,0,0,0,M,x,0,0
8520,496,0,0,0,0,M,x,0,0
8540,496,0,0,0,0,M,x,0,0
8560,496,0,0,0,0,M,x,0,0
8580,496,0,0,0,0,M,x,0,0
8600,496,0,0,0,0,M,x,0,0
8620,496,0,0,0,0,M,x,0,0
8640,495,0,0,0,0,M,x,0,0
8660,496,0,0,0,0,M,x,0,0
8680,496,0,0,0,0,M,x,0,0
8700,496,0,0,0,0,M,x,0,0
8720,496,0,0,0,0,M,x,0,0
8740,496,0,0,0,0,M,x,0,0
8760,497,0,0,0,0,M,x,0,0
8780,496,0,0,0,0,M,x,0,0
8800,496,0,0,0,0,M,x,0,0
8820,496,0,0,0,0,M,x,0,0
8840,496,0,0,0,0,M,x,0,0
8860,496,0,0,0,0,M,x,0,0
8880,496,0,0,0,0,M,x,0,0
