t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
7000,242,0,0,0,0,M,x,0,0
8000,242,0,0,0,0,M,m,0,0
9000,242,2,2,2,2,M,x,0,0
10000,240,10,8,8,6,M,x,0,0
11000,240,14,11,4,3,M,x,0,0
12000,242,28,25,14,14,M,x,0,0
13000,237,48,43,20,18,M,x,0,0
14000,224,62,54,14,11,M,w,200,175
15000,211,93,84,31,30,M,x,0,0
16000,209,106,97,13,13,M,x,0,0
17000,210,126,115,20,18,M,x,0,0
18000,213,129,118,3,3,M,x,0,0
19000,214,129,118,0,0,M,x,0,0
20000,226,129,118,0,0,M,x,0,0
21000,229,167,156,38,38,M,x,0,0
22000,213,188,177,21,21,M,x,0,0
23000,211,188,177,0,0,M,x,0,0
24000,209,188,177,0,0,M,x,0,0
25000,208,188,177,0,0,M,x,0,0
26000,199,188,177,0,0,M,x,0,0
27000,206,188,177,0,0,M,x,0,0
28000,215,188,177,0,0,M,x,0,0
29000,212,188,177,0,0,M,x,0,0
30000,209,188,177,0,0,M,x,0,0
31000,207,188,177,0,0,M,x,0,0
32000,207,188,177,0,0,M,x,0,0
33000,208,188,177,0,0,M,x,0,0
34000,208,188,177,0,0,M,x,0,0
35000,207,188,177,0,0,M,x,0,0
36000,208,188,177,0,0,M,x,0,0
